"SAMPLE","CASEID","IDHSPID","IDHSHID","HHID","HHNUM","PSU","STRATA","DOMAIN","PERWEIGHT","DVWEIGHT","URBAN","CLUSTERNO","DISTRICT","RESIDENT","ELECTRCHH","COOKFUEL","HUSJOB","EDUCLVL","SAMPLESTR","DHSID"
2884,"            7 2  2","   2884         7 2  2","   2884         7 2","            7 2",2,7,163,3,1.431495,,1,7,1,1,1,220,99,2,"2884","GH200300000007"
2884,"            7 3  2","   2884         7 3  2","   2884         7 3","            7 3",3,7,163,3,1.431495,,1,7,1,1,1,520,32,2,"2884","GH200300000007"
2884,"            7 5  3","   2884         7 5  3","   2884         7 5","            7 5",5,7,163,3,1.431495,,1,7,1,1,0,520,99,2,"2884","GH200300000007"
2884,"            7 5  4","   2884         7 5  4","   2884         7 5","            7 5",5,7,163,3,1.431495,,1,7,1,1,0,520,99,2,"2884","GH200300000007"
2884,"            7 7  2","   2884         7 7  2","   2884         7 7","            7 7",7,7,163,3,1.431495,,1,7,1,1,1,520,50,2,"2884","GH200300000007"
2884,"            7 7  3","   2884         7 7  3","   2884         7 7","            7 7",7,7,163,3,1.431495,,1,7,1,1,1,520,61,2,"2884","GH200300000007"
2884,"            710  2","   2884         710  2","   2884         710","            710",10,7,163,3,1.431495,,1,7,1,1,1,520,61,2,"2884","GH200300000007"
2884,"            710  5","   2884         710  5","   2884         710","            710",10,7,163,3,1.431495,,1,7,1,1,1,520,99,1,"2884","GH200300000007"
2884,"            711  2","   2884         711  2","   2884         711","            711",11,7,163,3,1.431495,,1,7,1,1,1,220,20,2,"2884","GH200300000007"
2884,"            711  3","   2884         711  3","   2884         711","            711",11,7,163,3,1.431495,,1,7,1,1,1,220,99,3,"2884","GH200300000007"
2884,"            711  5","   2884         711  5","   2884         711","            711",11,7,163,3,1.431495,,1,7,1,1,1,220,99,2,"2884","GH200300000007"
2884,"            712  2","   2884         712  2","   2884         712","            712",12,7,163,3,1.431495,,1,7,1,1,1,520,61,2,"2884","GH200300000007"
2884,"            713  1","   2884         713  1","   2884         713","            713",13,7,163,3,1.431495,,1,7,1,1,1,520,32,0,"2884","GH200300000007"
2884,"            713  4","   2884         713  4","   2884         713","            713",13,7,163,3,1.431495,,1,7,1,1,1,520,32,0,"2884","GH200300000007"
2884,"            714  1","   2884         714  1","   2884         714","            714",14,7,163,3,1.431495,,1,7,1,1,1,520,20,3,"2884","GH200300000007"
2884,"            714  2","   2884         714  2","   2884         714","            714",14,7,163,3,1.431495,,1,7,1,1,1,520,99,2,"2884","GH200300000007"
2884,"            715  1","   2884         715  1","   2884         715","            715",15,7,163,3,1.431495,,1,7,1,1,0,520,20,2,"2884","GH200300000007"
2884,"            8 1  2","   2884         8 1  2","   2884         8 1","            8 1",1,8,180,6,1.108234,,1,8,10,1,1,520,61,1,"2884","GH200300000008"
2884,"            8 1  6","   2884         8 1  6","   2884         8 1","            8 1",1,8,180,6,1.108234,,1,8,10,1,1,520,98,2,"2884","GH200300000008"
2884,"            8 1  7","   2884         8 1  7","   2884         8 1","            8 1",1,8,180,6,1.108234,,1,8,10,1,1,520,61,2,"2884","GH200300000008"
2884,"            8 3  2","   2884         8 3  2","   2884         8 3","            8 3",3,8,180,6,1.108234,,1,8,10,1,1,300,20,3,"2884","GH200300000008"
2884,"            8 4  2","   2884         8 4  2","   2884         8 4","            8 4",4,8,180,6,1.108234,,1,8,10,1,1,300,61,2,"2884","GH200300000008"
2884,"            8 5  2","   2884         8 5  2","   2884         8 5","            8 5",5,8,180,6,1.108234,,1,8,10,1,1,520,50,2,"2884","GH200300000008"
2884,"            8 6  2","   2884         8 6  2","   2884         8 6","            8 6",6,8,180,6,1.108234,,1,8,10,1,1,520,98,0,"2884","GH200300000008"
2884,"            8 8  2","   2884         8 8  2","   2884         8 8","            8 8",8,8,180,6,1.108234,,1,8,10,1,1,220,20,2,"2884","GH200300000008"
2884,"            811  2","   2884         811  2","   2884         811","            811",11,8,180,6,1.108234,,1,8,10,1,0,520,32,2,"2884","GH200300000008"
2884,"            817  1","   2884         817  1","   2884         817","            817",17,8,180,6,1.108234,,1,8,10,1,1,520,32,2,"2884","GH200300000008"
2884,"            817  5","   2884         817  5","   2884         817","            817",17,8,180,6,1.108234,,1,8,10,1,1,520,99,2,"2884","GH200300000008"
2884,"            818  2","   2884         818  2","   2884         818","            818",18,8,180,6,1.108234,,1,8,10,1,1,220,20,0,"2884","GH200300000008"
2884,"            819  2","   2884         819  2","   2884         819","            819",19,8,180,6,1.108234,,1,8,10,1,0,520,61,2,"2884","GH200300000008"
2884,"            9 2  2","   2884         9 2  2","   2884         9 2","            9 2",2,9,191,3,1.403384,,1,9,1,1,1,520,61,2,"2884","GH200300000009"
2884,"            9 2  4","   2884         9 2  4","   2884         9 2","            9 2",2,9,191,3,1.403384,,1,9,1,1,1,520,99,2,"2884","GH200300000009"
2884,"            9 3  2","   2884         9 3  2","   2884         9 3","            9 3",3,9,191,3,1.403384,,1,9,1,1,1,220,61,2,"2884","GH200300000009"
2884,"            9 6  1","   2884         9 6  1","   2884         9 6","            9 6",6,9,191,3,1.403384,,1,9,1,1,1,220,20,2,"2884","GH200300000009"
2884,"            9 8  1","   2884         9 8  1","   2884         9 8","            9 8",8,9,191,3,1.403384,,1,9,1,1,1,520,20,2,"2884","GH200300000009"
2884,"            911  2","   2884         911  2","   2884         911","            911",11,9,191,3,1.403384,,1,9,1,1,1,220,20,2,"2884","GH200300000009"
2884,"            912  4","   2884         912  4","   2884         912","            912",12,9,191,3,1.403384,,1,9,1,1,1,220,99,2,"2884","GH200300000009"
2884,"            912  5","   2884         912  5","   2884         912","            912",12,9,191,3,1.403384,,1,9,1,1,1,220,20,3,"2884","GH200300000009"
2884,"            916  2","   2884         916  2","   2884         916","            916",16,9,191,3,1.403384,,1,9,1,1,1,520,32,2,"2884","GH200300000009"
2884,"            920  2","   2884         920  2","   2884         920","            920",20,9,191,3,1.403384,,1,9,1,1,0,530,62,2,"2884","GH200300000009"
2884,"           10 4  2","   2884        10 4  2","   2884        10 4","           10 4",4,10,52,5,1.003423,,2,10,3,1,0,530,40,2,"2884","GH200300000010"
2884,"           10 5  1","   2884        10 5  1","   2884        10 5","           10 5",5,10,52,5,1.003423,,2,10,3,1,0,530,61,0,"2884","GH200300000010"
2884,"           10 5  2","   2884        10 5  2","   2884        10 5","           10 5",5,10,52,5,1.003423,,2,10,3,1,0,530,99,0,"2884","GH200300000010"
